"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_0~9세","2020년01월_계_10~19세","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_계_80~89세","2020년01월_계_90~99세","2020년01월_계_100세 이상","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_0~9세","2020년01월_남_10~19세","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_남_80~89세","2020년01월_남_90~99세","2020년01월_남_100세 이상","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_0~9세","2020년01월_여_10~19세","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세","2020년01월_여_80~89세","2020년01월_여_90~99세","2020년01월_여_100세 이상"
"서울특별시 종로구 (1111000000)","151,215","151,215","8,182","11,714","23,442","20,356","23,030","25,710","19,236","12,563","5,705","1,018","259","73,688","73,688","4,128","5,898","11,621","10,081","11,190","12,936","9,540","5,570","2,283","356","85","77,527","77,527","4,054","5,816","11,821","10,275","11,840","12,774","9,696","6,993","3,422","662","174"
"서울특별시 종로구 청운효자동(1111051500)","12,738","12,738","893","1,256","1,618","1,771","2,251","1,979","1,341","1,031","500","80","18","5,933","5,933","462","663","799","823","992","947","583","428","201","32","3","6,805","6,805","431","593","819","948","1,259","1,032","758","603","299","48","15"
"서울특별시 종로구 사직동(1111053000)","9,554","9,554","634","749","1,231","1,407","1,527","1,536","1,145","784","430","92","19","4,301","4,301","318","343","568","625","679","691","521","337","177","37","5","5,253","5,253","316","406","663","782","848","845","624","447","253","55","14"
"서울특별시 종로구 삼청동(1111054000)","2,779","2,779","112","214","354","396","387","432","402","298","146","29","9","1,340","1,340","51","129","185","194","189","208","186","137","47","13","1","1,439","1,439","61","85","169","202","198","224","216","161","99","16","8"
"서울특별시 종로구 부암동(1111055000)","10,095","10,095","603","958","1,377","1,241","1,651","1,720","1,273","797","390","75","10","4,817","4,817","311","518","723","573","765","790","601","354","159","20","3","5,278","5,278","292","440","654","668","886","930","672","443","231","55","7"
"서울특별시 종로구 평창동(1111056000)","18,653","18,653","1,199","1,715","2,606","2,276","2,796","3,364","2,352","1,420","747","154","24","8,742","8,742","609","879","1,350","1,049","1,246","1,522","1,130","625","282","42","8","9,911","9,911","590","836","1,256","1,227","1,550","1,842","1,222","795","465","112","16"
"서울특별시 종로구 무악동(1111057000)","8,707","8,707","745","1,042","964","984","1,593","1,387","996","638","293","49","16","4,052","4,052","333","494","440","446","755","725","454","254","123","17","11","4,655","4,655","412","548","524","538","838","662","542","384","170","32","5"
"서울특별시 종로구 교남동(1111058000)","10,614","10,614","918","866","1,313","1,805","1,899","1,583","1,136","729","306","44","15","4,933","4,933","470","420","607","838","896","767","496","293","127","14","5","5,681","5,681","448","446","706","967","1,003","816","640","436","179","30","10"
"서울특별시 종로구 가회동(1111060000)","4,374","4,374","214","356","494","596","776","708","574","442","168","36","10","2,018","2,018","104","188","234","283","364","317","268","179","70","7","4","2,356","2,356","110","168","260","313","412","391","306","263","98","29","6"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,207","7,207","212","234","863","890","940","1,395","1,369","815","363","89","37","4,292","4,292","116","115","444","500","577","970","875","477","172","35","11","2,915","2,915","96","119","419","390","363","425","494","338","191","54","26"
"서울특별시 종로구 종로5.6가동(1111063000)","5,357","5,357","124","264","1,103","693","653","988","744","541","198","40","9","2,907","2,907","63","136","570","417","371","569","414","267","82","14","4","2,450","2,450","61","128","533","276","282","419","330","274","116","26","5"
"서울특별시 종로구 이화동(1111064000)","7,838","7,838","276","467","1,691","1,329","1,045","1,155","903","607","309","43","13","3,704","3,704","138","233","807","625","518","567","437","250","112","14","3","4,134","4,134","138","234","884","704","527","588","466","357","197","29","10"
"서울특별시 종로구 혜화동(1111065000)","16,806","16,806","755","1,408","4,355","2,148","2,330","2,271","1,570","1,259","610","79","21","8,115","8,115","359","706","2,189","1,119","1,114","1,090","756","514","239","21","8","8,691","8,691","396","702","2,166","1,029","1,216","1,181","814","745","371","58","13"
"서울특별시 종로구 창신제1동(1111067000)","5,231","5,231","163","264","608","531","693","1,171","979","567","205","43","7","2,815","2,815","88","131","333","303","357","668","564","270","83","18","0","2,416","2,416","75","133","275","228","336","503","415","297","122","25","7"
"서울특별시 종로구 창신제2동(1111068000)","8,528","8,528","266","581","1,219","903","1,233","1,867","1,304","798","302","42","13","4,358","4,358","139","295","653","531","653","974","639","334","123","15","2","4,170","4,170","127","286","566","372","580","893","665","464","179","27","11"
"서울특별시 종로구 창신제3동(1111069000)","7,114","7,114","422","568","1,017","1,005","1,007","1,307","963","548","226","39","12","3,506","3,506","235","279","535","485","497","643","481","244","80","18","9","3,608","3,608","187","289","482","520","510","664","482","304","146","21","3"
"서울특별시 종로구 숭인제1동(1111070000)","6,188","6,188","328","409","809","871","973","1,151","855","531","217","36","8","3,037","3,037","166","196","409","467","507","552","413","223","85","17","2","3,151","3,151","162","213","400","404","466","599","442","308","132","19","6"
"서울특별시 종로구 숭인제2동(1111071000)","9,432","9,432","318","363","1,820","1,510","1,276","1,696","1,330","758","295","48","18","4,818","4,818","166","173","775","803","710","936","722","384","121","22","6","4,614","4,614","152","190","1,045","707","566","760","608","374","174","26","12"
